model,rank_macro_f1,mean_macro_f1,std_macro_f1,mean_uar,mean_fit_seconds,parameters,fold_0_macro_f1,fold_0_uar,fold_1_macro_f1,fold_1_uar,fold_2_macro_f1,fold_2_uar,fold_3_macro_f1,fold_3_uar,fold_4_macro_f1,fold_4_uar
xgboost,4,0.35554844550907094,0.08090114175273837,0.3879891806255059,1.4290378093719482,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.2928652042422175,0.3341976837045517,0.38561967214968873,0.4046759957027558,0.3465601410651479,0.3821923444221923,0.26027659423416394,0.30999145777728476,0.4924206158541368,0.5088884215207448
xgboost,2,0.3748028286730142,0.07570806199858454,0.403964965848117,2.8289538860321044,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}",0.3424126274386034,0.3926987217758609,0.4109616338586208,0.4287530696433928,0.3700384659696082,0.395310877466251,0.26067354283568617,0.30013774582219743,0.48992787326255255,0.5029244145328828
xgboost,3,0.36105892001115436,0.0716751742915431,0.3959958012405654,2.7384369373321533,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",0.311506375270262,0.36613137044626953,0.42243192150451564,0.4511366176592442,0.3694348187739814,0.4018380989467436,0.2530055203970942,0.29301717232814206,0.44891596410991874,0.46785574682242737
xgboost,1,0.3760606643743446,0.0711664879735805,0.41073581933203035,5.30962233543396,"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400}",0.35599281592936205,0.41641064906299086,0.41964612667575474,0.4505057870188395,0.38639245220051555,0.411717127466251,0.25344467451069846,0.29478541087405763,0.46482725255539203,0.4802601222380132
