scenario,candidate,baseline,delta_validation_macro_f1,delta_worst_accent_macro_f1,delta_accent_gap
main,E5_fedprox_cnn,E4_fedavg_cnn,-0.0035714483693974897,0.0049533799533799105,-0.009039345455653713
main,E6_fedavg_unconditional_grl,E4_fedavg_cnn,-0.020411439639361817,-0.034386446886446875,-0.02335611952489275
main,E7_fedecai,E4_fedavg_cnn,-0.012257306483442365,-0.041035353535353536,0.022575556475740888
stress,E5_fedprox_cnn,E4_fedavg_cnn,-0.007879808552241463,-0.0461538461538461,0.055307393531006555
stress,E6_fedavg_unconditional_grl,E4_fedavg_cnn,-0.013160688942355614,0.00909090909090915,-0.021998065629879715
stress,E7_fedecai,E4_fedavg_cnn,-0.027369247575888322,-0.07535353535353534,0.08900012514284467
